16777472,16778239,CN,China,Fujian,Fuzhou,26.061390,119.306110
16779264,16781311,CN,China,Guangdong,Guangzhou,23.127361,113.264570
16785408,16793599,CN,China,Guangdong,Guangzhou,23.127361,113.264570
16842752,16843007,CN,China,Fujian,Fuzhou,26.061390,119.306110
16843264,16844799,CN,China,Fujian,Fuzhou,26.061390,119.306110
16844800,16845055,CN,China,Shanghai,Shanghai,31.224332,121.468951
16845056,16859135,CN,China,Guangdong,Guangzhou,23.127361,113.264570
16908288,16908799,CN,China,Fujian,Fuzhou,26.061390,119.306110
16908800,16909055,CN,China,Beijing,Beijing,39.907500,116.397100
16909312,16909567,CN,China,Beijing,Beijing,39.907500,116.397100
16909568,16910335,CN,China,Fujian,Fuzhou,26.061390,119.306110
16910336,16910591,CN,China,Beijing,Beijing,39.907500,116.397100
16910592,16941055,CN,China,Guangdong,Guangzhou,23.127361,113.264570
16973824,17039359,CN,China,Guangdong,Guangzhou,23.127361,113.264570
17039616,17040383,CN,China,Fujian,Fuzhou,26.061390,119.306110
17040384,17040639,CN,China,Beijing,Beijing,39.907500,116.397100
17040640,17041407,CN,China,Fujian,Fuzhou,26.061390,119.306110
17041408,17072127,CN,China,Guangdong,Guangzhou,23.127361,113.264570
17301504,17367039,CN,China,Beijing,Beijing,39.907500,116.397100
17432576,17434623,CN,China,Guangdong,Guangzhou,23.127361,113.264570
17434624,17435135,CN,China,Fujian,Fuzhou,26.061390,119.306110
17435392,17436671,CN,China,Fujian,Fuzhou,26.061390,119.306110
17436672,17465343,CN,China,Guangdong,Guangzhou,23.127361,113.264570
17563648,17629183,CN,China,Guangdong,Guangzhou,23.127361,113.264570
17629184,17635583,CN,China,Jiangsu,Nanjing,32.061670,118.777990
17635584,17636095,CN,China,Beijing,Beijing,39.907500,116.397100
17636096,17636863,CN,China,Jiangsu,Nanjing,32.061670,118.777990
17636864,17637119,CN,China,Beijing,Beijing,39.907500,116.397100
17637120,17639935,CN,China,Jiangsu,Nanjing,32.061670,118.777990
17639936,17640959,CN,China,Beijing,Beijing,39.907500,116.397100
17640960,17645567,CN,China,Jiangsu,Nanjing,32.061670,118.777990
17645568,17646079,CN,China,Beijing,Beijing,39.907500,116.397100
17646080,17646335,CN,China,Jiangsu,Nanjing,32.061670,118.777990
17646336,17646847,CN,China,Beijing,Beijing,39.907500,116.397100
17646848,17650431,CN,China,Jiangsu,Nanjing,32.061670,118.777990
17650432,17650943,CN,China,Beijing,Beijing,39.907500,116.397100
17650944,17651711,CN,China,Jiangsu,Nanjing,32.061670,118.777990
17651712,17652223,CN,China,Beijing,Beijing,39.907500,116.397100
17652224,17663999,CN,China,Jiangsu,Nanjing,32.061670,118.777990
17664000,17665279,CN,China,Beijing,Beijing,39.907500,116.397100
17665280,17667839,CN,China,Jiangsu,Nanjing,32.061670,118.777990
17667840,17668095,CN,China,Beijing,Beijing,39.907500,116.397100
17668096,17668863,CN,China,Jiangsu,Nanjing,32.061670,118.777990
17668864,17669119,CN,China,Beijing,Beijing,39.907500,116.397100
17669120,17694719,CN,China,Jiangsu,Nanjing,32.061670,118.777990
17694720,17727487,CN,China,Sichuan,Chengdu,30.666670,104.066270
17727488,17755135,CN,China,Guangdong,Guangzhou,23.127361,113.264570
17755136,17755391,CN,China,Beijing,Beijing,39.907500,116.397100
17755392,17760255,CN,China,Guangdong,Guangzhou,23.127361,113.264570
17760256,17825791,CN,China,Shanghai,Shanghai,31.224332,121.468951
18350080,18352127,CN,China,Nei Mongol,Hohhot,40.810649,111.650669
18352128,18354175,CN,China,Nei Mongol,Xilinhot,43.966670,116.033330
18354176,18356223,CN,China,Nei Mongol,Baotou,40.651910,109.822920
18356224,18358271,CN,China,Nei Mongol,Ordos,39.600000,109.783333
18358272,18360319,CN,China,Nei Mongol,Ulanqab,41.000000,113.133333
18360320,18366463,CN,China,Nei Mongol,Xilinhot,43.966670,116.033330
18366464,18366719,CN,China,Nei Mongol,Baotou,40.651910,109.822920
18366720,18367743,CN,China,Nei Mongol,Wuhai,39.664720,106.812220
18367744,18370559,CN,China,Nei Mongol,Baotou,40.651910,109.822920
18370560,18374655,CN,China,Nei Mongol,Ulanqab,41.000000,113.133333
18374656,18382847,CN,China,Nei Mongol,Bayannur,40.766667,107.400000
18382848,18384895,CN,China,Nei Mongol,Baotou,40.651910,109.822920
18384896,18387967,CN,China,Nei Mongol,Ordos,39.600000,109.783333
18387968,18391039,CN,China,Nei Mongol,Wuhai,39.664720,106.812220
18391040,18393087,CN,China,Nei Mongol,Baotou,40.651910,109.822920
18393088,18395135,CN,China,Nei Mongol,Xilinhot,43.966670,116.033330
18395136,18398207,CN,China,Nei Mongol,Wuhai,39.664720,106.812220
18398208,18399231,CN,China,Nei Mongol,Baotou,40.651910,109.822920
18399232,18401279,CN,China,Nei Mongol,Ulanqab,41.000000,113.133333
18401280,18405375,CN,China,Nei Mongol,Hohhot,40.810649,111.650669
18405376,18406143,CN,China,Nei Mongol,Ulanqab,41.000000,113.133333
18406144,18406399,CN,China,Nei Mongol,Bayannur,40.766667,107.400000
18406400,18410495,CN,China,Nei Mongol,Baotou,40.651910,109.822920
18410496,18411519,CN,China,Nei Mongol,Ulanqab,41.000000,113.133333
18411520,18412543,CN,China,Nei Mongol,Hohhot,40.810649,111.650669
18412544,18413567,CN,China,Nei Mongol,Wuhai,39.664720,106.812220
18413568,18415615,CN,China,Nei Mongol,Xilinhot,43.966670,116.033330
18415616,18417663,CN,China,Nei Mongol,Ulanqab,41.000000,113.133333
18417664,18419711,CN,China,Nei Mongol,Hohhot,40.810649,111.650669
18419712,18421759,CN,China,Nei Mongol,Wuhai,39.664720,106.812220
18421760,18424831,CN,China,Nei Mongol,Ulanqab,41.000000,113.133333
18424832,18425087,CN,China,Nei Mongol,Hohhot,40.810649,111.650669
18425088,18427903,CN,China,Nei Mongol,Ulanqab,41.000000,113.133333
18427904,18434047,CN,China,Nei Mongol,Baotou,40.651910,109.822920
18434048,18437887,CN,China,Nei Mongol,Xilinhot,43.966670,116.033330
18437888,18438143,CN,China,Nei Mongol,Erenhot,43.650000,111.983333
18438144,18439167,CN,China,Nei Mongol,Xilinhot,43.966670,116.033330
